Data totals as of 2019-10-23: 

+-------------+---------+
| file format | total   |
+-------------+---------+
| Removed     |      21 |  (versions removed for legal reasons)
| docx        |     937 |  (for a brief period arXiv accepted docx)
| html        |    1580 |  (typically conference indexes, though some full text)
| ps          |    5746 |
| withdrawn   |   10189 |  (where the top-level version is withdrawn)
| pdf         |  164859 |
| pdftex      |  678193 |  (these should be counted together, as they...)
| tex         | 1629254 |  (...are both tex formats)
+-------------+---------+

File formats across subject areas 
(single-word categories contain a period in their name only for ease of providing data)
(NULL values in format column represent removed top-level versions)

+--------------------+-----------+------------+
| category           | format    | paper count|
+--------------------+-----------+------------+
| acc-phys.          | ps        |         13 |
| acc-phys.          | tex       |         42 |
| adap-org.          | html      |         10 |
| adap-org.          | pdf       |          4 |
| adap-org.          | pdftex    |          1 |
| adap-org.          | ps        |         69 |
| adap-org.          | tex       |        666 |
| alg-geom.          | pdftex    |          1 |
| alg-geom.          | ps        |          6 |
| alg-geom.          | tex       |       2066 |
| alg-geom.          | withdrawn |          6 |
| ao-sci.            | ps        |          3 |
| ao-sci.            | tex       |         21 |
| astro-ph.          | docx      |         11 |
| astro-ph.          | html      |         89 |
| astro-ph.          | pdf       |       2615 |
| astro-ph.          | pdftex    |       1696 |
| astro-ph.          | ps        |       1834 |
| astro-ph.          | tex       |     136149 |
| astro-ph.          | withdrawn |         33 |
| astro-ph.CO        | NULL      |          1 |
| astro-ph.CO        | docx      |         28 |
| astro-ph.CO        | html      |          4 |
| astro-ph.CO        | pdf       |        985 |
| astro-ph.CO        | pdftex    |      32188 |
| astro-ph.CO        | ps        |          7 |
| astro-ph.CO        | tex       |      48292 |
| astro-ph.CO        | withdrawn |        142 |
| astro-ph.EP        | docx      |         21 |
| astro-ph.EP        | html      |          7 |
| astro-ph.EP        | pdf       |       2524 |
| astro-ph.EP        | pdftex    |      10147 |
| astro-ph.EP        | ps        |          5 |
| astro-ph.EP        | tex       |      10335 |
| astro-ph.EP        | withdrawn |         56 |
| astro-ph.GA        | docx      |         16 |
| astro-ph.GA        | html      |         10 |
| astro-ph.GA        | pdf       |       1020 |
| astro-ph.GA        | pdftex    |      24561 |
| astro-ph.GA        | ps        |          6 |
| astro-ph.GA        | tex       |      27013 |
| astro-ph.GA        | withdrawn |         63 |
| astro-ph.HE        | docx      |         20 |
| astro-ph.HE        | html      |         48 |
| astro-ph.HE        | pdf       |        991 |
| astro-ph.HE        | pdftex    |      21823 |
| astro-ph.HE        | ps        |          4 |
| astro-ph.HE        | tex       |      29678 |
| astro-ph.HE        | withdrawn |         82 |
| astro-ph.IM        | NULL      |          1 |
| astro-ph.IM        | docx      |         26 |
| astro-ph.IM        | html      |         19 |
| astro-ph.IM        | pdf       |       2591 |
| astro-ph.IM        | pdftex    |      11595 |
| astro-ph.IM        | ps        |          3 |
| astro-ph.IM        | tex       |       8058 |
| astro-ph.IM        | withdrawn |         54 |
| astro-ph.SR        | docx      |         30 |
| astro-ph.SR        | html      |         13 |
| astro-ph.SR        | pdf       |       1951 |
| astro-ph.SR        | pdftex    |      17857 |
| astro-ph.SR        | ps        |          5 |
| astro-ph.SR        | tex       |      31848 |
| astro-ph.SR        | withdrawn |         72 |
| atom-ph.           | ps        |          3 |
| atom-ph.           | tex       |        152 |
| bayes-an.          | ps        |          4 |
| bayes-an.          | tex       |         16 |
| chao-dyn.          | html      |         18 |
| chao-dyn.          | pdf       |          4 |
| chao-dyn.          | ps        |        127 |
| chao-dyn.          | tex       |       2881 |
| chao-dyn.          | withdrawn |          1 |
| chem-ph.           | ps        |         14 |
| chem-ph.           | tex       |        299 |
| cmp-lg.            | html      |          1 |
| cmp-lg.            | pdf       |          1 |
| cmp-lg.            | ps        |        305 |
| cmp-lg.            | tex       |        729 |
| comp-gas.          | ps        |         46 |
| comp-gas.          | tex       |        231 |
| cond-mat.          | html      |          6 |
| cond-mat.          | pdf       |        259 |
| cond-mat.          | pdftex    |          3 |
| cond-mat.          | ps        |        315 |
| cond-mat.          | tex       |      18179 |
| cond-mat.          | withdrawn |          6 |
